StudentId,Name,Group,Lesson,Code,Value
Experimental::Student 1,Student 1,Experimental,Lesson 1,EC,1
Experimental::Student 1,Student 1,Experimental,Lesson 1,ICT,1
Experimental::Student 2,Student 2,Experimental,Lesson 1,EC,1
Experimental::Student 3,Student 3,Experimental,Lesson 1,EC,1
Experimental::Student 3,Student 3,Experimental,Lesson 1,ICT,1
Experimental::Student 4,Student 4,Experimental,Lesson 1,ICT,1
Experimental::Student 4,Student 4,Experimental,Lesson 1,NI,1
Experimental::Student 5,Student 5,Experimental,Lesson 1,MCO,1
Experimental::Student 5,Student 5,Experimental,Lesson 1,SC,1
Experimental::Student 5,Student 5,Experimental,Lesson 1,ATT,1
Experimental::Student 6,Student 6,Experimental,Lesson 1,EC,1
Experimental::Student 7,Student 7,Experimental,Lesson 1,ATT,1
Experimental::Student 8,Student 8,Experimental,Lesson 1,EC,1
Experimental::Student 8,Student 8,Experimental,Lesson 1,MCO,1
Experimental::Student 9,Student 9,Experimental,Lesson 1,ICT,1
Experimental::Student 9,Student 9,Experimental,Lesson 1,SC,1
Experimental::Student 9,Student 9,Experimental,Lesson 1,ATT,1
Experimental::Student 10,Student 10,Experimental,Lesson 1,ICT,1
Experimental::Student 10,Student 10,Experimental,Lesson 1,ATT,1
Experimental::Student 11,Student 11,Experimental,Lesson 1,ATT,1
Experimental::Student 12,Student 12,Experimental,Lesson 1,EC,1
Experimental::Student 12,Student 12,Experimental,Lesson 1,ICT,1
Experimental::Student 12,Student 12,Experimental,Lesson 1,NI,1
Experimental::Student 12,Student 12,Experimental,Lesson 1,SC,1
Experimental::Student 12,Student 12,Experimental,Lesson 1,ATT,1
Experimental::Student 13,Student 13,Experimental,Lesson 1,MCO,1
Experimental::Student 13,Student 13,Experimental,Lesson 1,SC,1
Experimental::Student 13,Student 13,Experimental,Lesson 1,ATT,1
Experimental::Student 14,Student 14,Experimental,Lesson 1,ICT,1
Experimental::Student 14,Student 14,Experimental,Lesson 1,MCO,1
Experimental::Student 14,Student 14,Experimental,Lesson 1,ATT,1
Experimental::Student 15,Student 15,Experimental,Lesson 1,ATT,1
Experimental::Student 16,Student 16,Experimental,Lesson 1,MCO,1
